S4;S3;S2;S1;S0;C;K;noT;;FS4;FS3;FS2;FS1;FS0
1;0;0;X;X;0;X;X;;1;0;0;0;0
1;0;0;X;X;X;0;X;;1;0;0;0;0
1;0;0;X;X;X;X;1;;1;0;0;0;0
1;0;1;0;0;X;X;X;;1;0;0;0;0
X;0;0;0;0;0;1;0;;1;0;0;0;0
0;1;X;X;X;X;X;X;;0;1;0;0;0
0;X;1;1;1;X;1;0;;0;1;0;0;0
0;X;X;1;1;0;1;0;;0;1;0;0;0
0;X;1;X;0;0;1;0;;0;1;0;0;0
1;0;0;1;X;1;1;0;;0;1;0;0;0
1;0;0;X;1;1;1;0;;0;1;0;0;0
0;X;1;X;X;X;0;X;;0;0;1;0;0
0;X;1;X;X;X;X;1;;0;0;1;0;0
0;X;1;X;0;1;X;X;;0;0;1;0;0
1;0;1;0;0;X;X;X;;0;0;1;0;0
0;1;X;X;0;0;1;0;;0;0;1;0;0
1;0;0;1;1;X;1;0;;0;0;1;0;0
0;0;X;0;1;0;1;0;;0;0;1;0;0
0;X;0;1;0;0;1;0;;0;0;1;0;0
0;X;1;0;1;X;X;X;;0;0;1;0;0
0;1;X;1;1;X;1;0;;0;0;1;0;0
0;X;0;1;1;1;1;0;;0;0;1;0;0
1;0;0;X;0;1;1;0;;0;0;1;0;0
0;X;X;1;X;X;0;X;;0;0;0;1;0
0;X;X;1;X;X;X;1;;0;0;0;1;0
0;X;X;1;0;1;X;X;;0;0;0;1;0
0;X;1;1;X;0;X;X;;0;0;0;1;0
X;0;0;1;X;X;0;X;;0;0;0;1;0
X;0;0;1;X;X;X;1;;0;0;0;1;0
0;1;X;1;1;0;X;X;;0;0;0;1;0
X;0;0;1;0;0;X;X;;0;0;0;1;0
0;1;1;X;1;X;1;0;;0;0;0;1;0
X;0;0;0;1;X;1;0;;0;0;0;1;0
1;0;0;0;X;1;1;0;;0;0;0;1;0
1;0;0;X;1;1;1;0;;0;0;0;1;0
0;X;X;X;1;X;0;X;;0;0;0;0;1
0;X;X;X;1;X;X;1;;0;0;0;0;1
0;X;1;X;1;0;X;X;;0;0;0;0;1
X;0;0;X;1;X;0;X;;0;0;0;0;1
X;0;0;X;1;X;X;1;;0;0;0;0;1
0;1;1;1;1;X;X;X;;0;0;0;0;1
0;0;1;0;X;X;1;0;;0;0;0;0;1
0;X;0;1;0;X;1;0;;0;0;0;0;1
0;0;X;X;0;1;1;0;;0;0;0;0;1
1;0;0;X;0;0;1;0;;0;0;0;0;1
0;1;0;0;1;X;X;X;;0;0;0;0;1
1;0;0;1;X;1;1;0;;0;0;0;0;1
0;1;0;0;X;1;1;0;;0;0;0;0;1
